3.3537502x 11.361891y 25.799301x 5.582306y
41.84733x 66.298645y 17.346497x 28.16475y
28.231255x 75.99776y 50.920364x 7.833908y
4.169979x 92.41166y 93.44728x 5.595642y
35.117493x 52.062737y 58.739494x 10.466316y
85.18608x 5.456871y 9.847538x 14.380526y
68.333374x 10.528713y 3.7304306x 24.247799y
11.817356x 28.061726y 42.153866x 7.833908y
39.391434x 153.46835y 924.0262x 8.800247y
168.36427x 69.3444y 224.61497x 51.586227y
89.50743x 248.23715y 28.994385x 27.544647y
176.49055x 271.43265y 56.539062x 23.195496y
118.501816x 346.81802y 62.33792x 28.994354y
309.8647x 364.21466y 139.17297x 49.290405y
533.1214x 285.92984y 124.67578x 75.385376y
533.1214x 456.99664y 208.75946x 152.22046y
801.3194x 387.41016y 79.7345x 49.290405y
337.40936x 671.555y 258.04993x 65.237366y
211.28383x 522.234y 144.97191x 30.44403y
424.39252x 541.0803y 55.089294x 39.142395y
82.258835x 456.99664y 46.39102x 26.09491y
530.222x 46.72624y 34.793213x 43.491566y
731.73285x 62.673153y 115.97748x 55.089314y
794.0708x 239.53885y 68.13672x 55.089294y
402.64673x 198.94672y 11.597717x 137.7233y
301.16638x 236.63937y 468.2591x 5.7989197y
733.18256x 182.99982y 10.148071x 129.02496y
824.51483x 528.0329y 13.047485x 323.28723y
73.56055x 793.3314y 681.3678x 20.29602y
241.72789x 858.5687y 500.15295x 26.09491y
672.2944x 681.70306y 33.343506x 47.8407y
46.015884x 860.01843y 97.131134x 102.93005y
262.024x 933.9541y 516.0999x 7.248596y
894.1014x 500.48822y 31.893799x 21.745789y
702.73846x 390.30957y 42.04187x 26.09497y
624.4537x 93.11723y 53.639587x 20.296082y
435.99023x 42.377087y 57.98877x 8.698311y
511.3756x 14.832432y 10.14801x 98.58089y
865.107x 20.631306y 37.692627x 198.61147y
902.7996x 271.43265y 66.68713x 39.142395y
811.46735x 333.77054y 23.195496x 11.597748y
540.37x 399.0079y 156.56964x 11.597717y
209.83409x 436.70056y 8.698334x 68.13678y
356.25574x 464.24524y 10.14801x 126.12555y
728.83344x 639.6612y 73.93561x 11.597778y
853.5092x 557.0273y 85.53345x 8.698242y
892.65155x 613.5662y 97.131226x 8.698364y
862.2075x 645.4601y 85.53339x 8.698303y
908.5986x 690.4013y 79.7345x 7.248596y
862.2075x 729.54376y 84.08368x 8.698303y
907.14874x 787.5325y 81.184326x 7.248596y
853.5092x 823.77545y 91.332275x 7.248596y
853.5092x 867.267y 17.396606x 100.03052y
888.30255x 938.3032y 98.58069x 21.745789y
169.24196x 916.55743y 60.888184x 33.343567y
47.46559x 191.69812y 8.6983185x 204.41034y
99.65547x 645.46y 175.41594x 91.332275y
