v0 0.81088084x -0.58521134y 34.581913x 42.38973y 0.59619117r 0.8970729g 0.8730986b
v1 0.978637x 0.20559599y 35.42051x 44.962364y 0.28256467r 0.012094257g 0.18049668b
v2 -0.97980404x -0.19996001y 34.03253x 44.538948y 0.17753513r 0.4371698g 0.925865b
v3 -0.011559929x -0.99993324y 36.77825x 55.338787y 0.36378196r 0.9346938g 0.8482726b
v4 0.9999719x 0.007490435y 37.034523x 55.92454y 0.034788966r 0.2742957g 0.3727687b
v5 0.5480262x -0.8364612y 54.05477x 47.396523y 0.5584449r 0.8099045g 0.26148504b
v6 0.9564082x 0.29203314y 66.22352x 53.419437y 0.14028288r 0.63559616g 0.8779924b
v7 0.032949045x -0.99945706y 64.407684x 30.326843y 0.968727r 0.4332892g 0.8988023b
v8 -0.94791293x 0.3185293y 62.65532x 33.58125y 0.043136537r 0.98009056g 0.30403343b
v9 -0.96146107x 0.27494127y 84.75785x 70.03754y 0.69249094r 0.17717455g 0.058438793b
v10 0.8815449x 0.47210017y -29.71928x 50.458958y 0.89089024r 0.8537882g 0.8867834b
v11 0.97539467x -0.22046591y -20.045158x 83.85771y 0.11625933r 0.36843136g 0.83131b
v12 0.9826852x -0.18528286y -19.814823x 94.222855y 0.7799848r 0.63971186g 0.72214806b
v13 NaNx NaNy 17.91587x 19.317844y 0.8315246r 0.75493926g 0.11009555b
v14 0.9998576x 0.016875342y 43.005127x 17.923996y 0.3756027r 0.41881335g 0.5046751b
v15 NaNx NaNy 43.094994x 27.597588y 0.55349684r 0.9668982g 0.30252454b
v16 0.79307216x 0.60912776y 55.16886x 17.990433y 0.07933087r 0.088705756g 0.27512726b
v17 67.25011x -0.259655y 20.375364x 11.239456y 0.23360284r 0.65256214g 0.8509988b
v18 -38.688282x 32.19696y 42.705513x -12.388963y 0.7915651r 0.99400806g 0.6214641b
v19 0.6666178x 0.7453997y 0.0x 0.0y 0.119477615r 0.46309036g 0.56980675b
v20 0.1832249x 0.9830711y 78.27796x 22.274704y 0.58339787r 0.7477177g 0.059461337b
v21 -0.9974792x -0.07095889y 40.498466x 32.920475y 0.13107313r 0.45993608g 0.6654025b
v22 40.815147x 26.0561y 58.98204x -17.5515y 0.71519274r 0.31985113g 0.6024298b
v23 -65.04915x -5.648525y 70.64351x -24.657707y 0.40190047r 0.9497731g 0.3171544b
v24 105.864296x 31.704626y 0.0x 0.0y 0.034989405r 0.8180949g 0.68187857b
